Word,Tag
...,.
is,VERB
...,.
write,NOUN
...,.
become,VERB
The,DET
verb,NOUN
in,ADP
a,DET
sentence,NOUN
expresses,VERB
action,NOUN
or,CONJ
being,VERB
There,DET
is,VERB
a,DET
main,ADJ
verb,NOUN
and,CONJ
sometimes,ADV
one,NUM
or,CONJ
more,ADJ
helping,VERB
verbs,ADP
``,.
She,PRON
can,VERB
sing,VERB
'',.
Sing,NOUN
is,VERB
the,DET
main,ADJ
verb,NOUN
can,VERB
is,VERB
the,DET
helping,VERB
verb,NOUN
A,DET
verb,NOUN
must,VERB
agree,VERB
with,ADP
its,PRON
subject,NOUN
in,ADP
number,NOUN
both,DET
are,VERB
singular,ADJ
or,CONJ
both,DET
are,VERB
plural,ADJ
Verbs,NOUN
also,ADV
take,VERB
different,ADJ
forms,NOUN
to,PRT
express,VERB
tense,ADP
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Verbs,NOUN
'',.
for,ADP
more,ADJ
information,NOUN
4,NUM
ADJECTIVE,NOUN
An,DET
adjective,ADJ
modifies,NOUN
or,CONJ
describes,VERB
a,DET
noun,NOUN
or,CONJ
pronoun,NOUN
pretty,ADV
...,.
old,ADJ
...,.
blue,NOUN
...,.
smart,VERB
An,DET
adjective,NOUN
is,VERB
a,DET
word,NOUN
used,VERB
to,PRT
modify,VERB
or,CONJ
describe,VERB
a,DET
noun,NOUN
or,CONJ
a,DET
pronoun,NOUN
It,PRON
usually,ADV
answers,VERB
the,DET
question,NOUN
of,ADP
which,DET
one,NUM
what,DET
kind,NOUN
or,CONJ
how,ADV
many,ADJ
Articles,NOUN
a,DET
an,DET
the,DET
are,VERB
usually,ADV
classified,VERB
as,ADP
adjectives,NOUN
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Adjectives,NOUN
'',.
for,ADP
more,ADJ
information,NOUN
5,NUM
ADVERB,NOUN
An,DET
adverb,ADJ
modifies,NOUN
or,CONJ
describes,VERB
a,DET
verb,NOUN
an,DET
adjective,ADJ
or,CONJ
another,DET
adverb,NOUN
gently,ADV
...,.
extremely,ADV
...,.
carefully,ADV
...,.
well,ADV
An,DET
adverb,NOUN
describes,VERB
or,CONJ
modifies,VERB
a,DET
verb,NOUN
an,DET
adjective,ADJ
or,CONJ
another,DET
adverb,NOUN
but,CONJ
never,ADV
a,DET
noun,NOUN
It,PRON
usually,ADV
answers,VERB
the,DET
questions,NOUN
of,ADP
when,ADV
where,ADV
how,ADV
why,ADV
under,ADP
what,PRON
conditions,NOUN
or,CONJ
to,PRT
what,PRON
degree,VERB
Adverbs,NOUN
often,ADV
end,VERB
in,ADP
-ly,NOUN
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Adverbs,NOUN
'',.
for,ADP
more,ADJ
information,NOUN
6,NUM
PREPOSITION,NOUN
A,DET
preposition,NOUN
is,VERB
a,DET
word,NOUN
placed,VERB
before,ADP
a,DET
noun,NOUN
or,CONJ
pronoun,NOUN
to,PRT
form,VERB
a,DET
phrase,NOUN
modifying,VERB
another,DET
word,NOUN
in,ADP
the,DET
sentence,NOUN
by,ADP
...,.
with,ADP
....,NOUN
about,ADP
...,.
until,ADP
by,ADP
the,DET
tree,NOUN
with,ADP
our,PRON
friends,NOUN
about,ADP
the,DET
book,NOUN
until,ADP
tomorrow,NOUN
A,DET
preposition,NOUN
is,VERB
a,DET
word,NOUN
placed,VERB
before,ADP
a,DET
noun,NOUN
or,CONJ
pronoun,NOUN
to,PRT
form,VERB
a,DET
phrase,NOUN
modifying,VERB
another,DET
word,NOUN
in,ADP
the,DET
sentence,NOUN
Therefore,VERB
a,DET
preposition,NOUN
is,VERB
always,ADV
part,NOUN
of,ADP
a,DET
prepositional,ADJ
phrase,NOUN
The,DET
prepositional,ADJ
phrase,NOUN
almost,ADV
always,ADV
functions,NOUN
as,ADP
an,DET
adjective,ADJ
or,CONJ
as,ADP
an,DET
adverb,NOUN
The,DET
following,ADJ
list,NOUN
includes,VERB
the,DET
most,ADV
common,ADJ
prepositions,NOUN
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Prepositions,NOUN
'',.
for,ADP
more,ADJ
information,NOUN
7,NUM
CONJUNCTION,NOUN
A,NOUN
conjunction,NOUN
joins,VERB
words,NOUN
phrases,NOUN
or,CONJ
clauses,NOUN
and,CONJ
...,.
but,CONJ
...,.
or,CONJ
...,.
while,ADP
...,.
because,ADP
A,DET
conjunction,NOUN
joins,VERB
words,NOUN
phrases,NOUN
or,CONJ
clauses,NOUN
and,CONJ
indicates,VERB
the,DET
relationship,NOUN
between,ADP
the,DET
elements,NOUN
joined,VERB
Coordinating,NOUN
conjunctions,NOUN
connect,VERB
grammatically,ADV
equal,ADJ
elements,NOUN
and,CONJ
but,CONJ
or,CONJ
nor,CONJ
for,ADP
so,ADV
yet,ADV
Subordinating,VERB
conjunctions,NOUN
connect,VERB
clauses,NOUN
that,DET
are,VERB
not,ADV
equal,ADJ
because,ADP
although,ADP
while,ADP
since,ADP
etc,NOUN
There,DET
are,VERB
other,ADJ
types,NOUN
of,ADP
conjunctions,NOUN
as,ADP
well,ADV
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Conjunctions,NOUN
'',.
for,ADP
more,ADJ
information,NOUN
8,NUM
INTERJECTION,NOUN
An,DET
interjection,NOUN
is,VERB
a,DET
word,NOUN
used,VERB
to,PRT
express,VERB
emotion,NOUN
Oh,NOUN
...,.
Wow,NOUN
...,.
Oops,VERB
An,DET
interjection,NOUN
is,VERB
a,DET
word,NOUN
used,VERB
to,PRT
express,VERB
emotion,NOUN
It,PRON
is,VERB
often,ADV
followed,VERB
by,ADP
an,DET
exclamation,NOUN
point,NOUN
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Interjections,NOUN
'',.
for,ADP
more,ADJ
information,NOUN
